Dinosaur,だいなそー,4
CHAMP,ちゃんぷ,4
Still Alive,すてぃるあらいぶ,4
ハルカ,はるか,4
それでもやっぱり,それでもやっぱり,4
Introduction,いんとろだくしょん,4
DIVE,だいぶ,4
Time Flies,たいむふぁいるず,4
MY LONELY TOWN,まいろんりーたうん,4
うれしくって抱きあうよ,うれしくってだきあうよ,1
誘惑してくれ,ゆうわくしてくれ,1
純情ACTION,じゅんじょうあくしょん,4
黒い青春,くろいせいしゅん,4
SUPER LOVE SONG,すーぱーらぶそんぐ,4
舞い上がれ,まいあがれ,1
joy,じょい,1
ハローグッバイ,はろーぐっばい,1
インフルエンサー,いんふるえんさー,2
人生を考えたくなる,じんせいをかんがえたくなる,2
いつかできるから今日できる,いつかできるからきょうできる,2
不眠症,ふみんしょう,2
The Bee,ざびー,5
Message in the Amber,めっせーじいんざあんばー,5
裸足でSummer,はだしでさまー,2
サヨナラの意味,さよならのいみ,2
スカイダイビング,すかいだいびんぐ,2
三番目の風,さんばんめのかぜ,2
ガラスを割れ！,がらすをわれ,3
もう森へ帰ろうか？,もうもりへかえろうか,3
Battle for Light ,ばとるふぉーらいと,5
My Enemy,まいえねみー,5
メインテーマ〜遺産〜,めいんてーま,6
アヴァロン,あゔぁろん,6
双次元バトル,そうじげんばとる,6
敗北,はいぼく,6
メインテーマ~理解~,めいんてーま,6
作戦会議,さくせんかいぎ,6
機工都市ギアズロック,きかいとし,6
東京テディベア,とうきょうてでぃ,7
ロストワンの号哭,ろすとわん,7
アブストラクト・ナンセンス,あぶすとらくと,7
延命治療,えんめいちりょう,7
オーヴァースレプト,おーゔぁーすれぷと,7
イドラのサーカス,いどらのさーかす,7
ハリボテ,はりぼて,7
マイネームイズラヴソング,まいねーむいずらぶそんぐ,7
プレリュード,ぷれりゅーど,8
F.F.Ⅶメインテーマ,ふぁいなるふぁんたじーせぶんめいんてーま,8
J-E-N-O-V-A,じぇのば,8
更に闘う者達,さらにたたかうものたち,8
片翼の天使,かたよくのてんし,8
ハイドンの名によるメヌエット,はいどんのなによるめぬえっと,9
水の戯れ,水の戯れ,9
亡き王女のためのパヴァーヌ,なきおうじょのためのぱゔぁーぬ,9
紅,くれない,10
ENDLESS RAIN,えんどれすれいん,10
ボレロ,ぼれろ,11
海原の小舟,うなばらのこぶね,11
道化師の朝の歌,どうけしのあさのうた,11
サンキュー。,さんきゅー。,12
オレンジのハッピーハロウィン,おれんじのはっぴーはろうぃん,12
ワンルーム・ディスコ,わんるーむ・でぃすこ,13
23:30,にじゅうさんじさんじゅっぷん,13
シュガーソングとビターステップ,しゅがーそんぐとびたーすてっぷ,14
シグナルABC,しぐなるえーびーしー,14
東京シナリオ,とうきょうしなりお,14
チョコレイト・ディスコ,ちょこれいと・でぃすこ,13
Twinkle Snow Powdery Snow,とぅいんくるすのーぱうだりーすのー,13
君に届け,きみにとどけ,15
僕の存在,ぼくのそんざい,15
ザ・リンガー,ざりんがー,16
アロハ・エ・コモ・マイ,あろはえこもまい,17
スティッチ・エイサー,すてぃっちえいさー,17
ありがちな恋愛,ありがちなれんあい,2
逃げ水,にげみず,2
シンクロニシティ,しんくろにしてぃ,2
ジコチューで行こう!,じこちゅーでいこう,2
帰り道は遠回りしたくなる,かえりみちはとおまわりしたくなる,2
アンダー,あんだー,2
My rule,まいるーる,2
新しい世界,あたらしいせかい,2
三角の空き地,さんかくのあきち,2
星間飛行,せいかんひこう,18
ねこ日記,ねこにっき,18
愛・おぼえていますか,あい・おぼえていますか,18
私の彼はパイロット,わたしのかれはぱいろっと,18
つわものどもが夢のあと,つわものどもがゆめのあと,19
盗めない宝石,ぬすめないほうせき,19
紅蓮の騎士,ぐれんのきし,19
Climax Jump,くらいまっくすじゃんぷ,20
クロノ・トリガー,くろのとりがー,19
時の回廊,ときのかいろう,19
樹海の神秘,じゅかいのしんぴ,19
風の情景,かぜのじょうけい,19
カーネーション,かーねーしょん,21
私の愛する人,わたしのあいするひと,21
人生は思い通り,じんせいはおもいどおり,21
ホームタウン ドミナ,ほーむたうんどみな,22
旅人たちの道,たびびとたちのみち,22
彩りの大地,いろどりのだいち,22
また君に恋してる,またきみにこいしてる,23
アジアの海賊,あじあのかいぞく,23
HAPPY BIRTHDAY,はっぴーばーすでー,24
エキシビジョンデスマッチ,えきしびじょんですまっち,24
ジャスティスインザボックス,じゃすてぃすいんざぼっくす,24
イントロ,いんとろ,25
ウィズ・イット・ディス・クリスマス,うぃず・いっと・でぃす・くりすます,25
ディセンバー,でぃせんばー,25
ノット・ジャスト・オン・クリスマス,のっと・じゃすと・おん・くりすます,25
トゥルー・ラブ,とぅるー・らぶ,25
ウィンター・シングス,うぃんたー・しんぐす,25
イントゥー・ユー,いんとぅー・ゆー,25
ひらり,ひらり,12
青い季節,あおいきせつ,12
Coming soon!!!!,かみんぐすーん,12
Realize,りあらいず,12
不協和音,ふきょうわおん,3
